id,name,sector,stage,location,funding_needed,traction,team_score,market_size,founded_year,revenue_arr,employees,website,business_model,problem,solution,description,tags
startup_001,PayNova,FinTech,Series A,"Mumbai, India",8.0,8.7,9.1,210.0,2021,2.4,68,https://paynova.in,SaaS + Transaction fee,"Small merchants in tier-2/3 cities lack affordable payment infrastructure and real-time cash-flow visibility, leading to poor financial decisions and high loan rejection rates.","PayNova offers an AI-powered payment gateway with built-in cash-flow forecasting, automated reconciliation, and a credit scoring module that uses transaction data to help merchants access working capital loans from partner NBFCs.",PayNova is a full-stack fintech platform built for India's 63 million small merchants. The platform processes ₹120 crore in monthly GMV and has a 94% merchant retention rate. Its proprietary credit engine has disbursed ₹45 crore in micro-loans with a sub-2% NPA. Backed by 3 fintech angels and shortlisted for RBI's regulatory sandbox.,fintech|payments|credit|smb|ai|b2b|india
startup_002,WealthPath,FinTech,Seed,"Bangalore, India",3.0,7.2,8.3,95.0,2022,0.6,22,https://wealthpath.io,Subscription + AUM fee,"India has over 200 million salaried professionals with no access to personalized wealth management. Existing robo-advisors use generic portfolios that ignore individual risk psychology, tax brackets, and life goals.",WealthPath uses behavioral finance algorithms and goal-based investing to create hyper-personalized mutual fund and ETF portfolios. It integrates with DigiLocker and GST portals to auto-populate financial profiles and rebalances portfolios dynamically based on life events.,"WealthPath has onboarded 38,000 retail investors in 18 months with an average AUM of ₹2.2 lakh per user. Monthly SIP volume crossed ₹8 crore. The platform achieved SEBI RIA certification and has a 4.8-star rating on the App Store. Current NPS score is 72, indicating high user satisfaction.",wealthtech|robo-advisor|investing|ml|b2c|india
startup_003,InsureIQ,FinTech,Series B,"Delhi, India",18.0,9.2,9.4,280.0,2020,7.8,185,https://insureiq.co,Commission + SaaS licensing,"India's insurance penetration is 4.2%, far below the global average of 7%, largely because claim settlement is opaque, slow, and agent-driven. Customers distrust insurers due to high claim rejection rates.","InsureIQ is an insurtech platform that uses NLP and computer vision to automate claim processing, reducing settlement time from 30 days to 4 hours. It also provides an AI-underwriting engine licensed to 12 insurance companies and a D2C policy comparison platform.","InsureIQ processes 18,000 claims monthly with a 97.3% auto-approval rate. The B2B SaaS division generates ₹4.2 crore ARR from insurer clients. The D2C arm has 2.1 million registered users. The company was named India's Top Insurtech by IRDAI in 2023 and is in talks with two Southeast Asian insurers for international licensing.",insurtech|claims|nlp|cv|b2b|b2c|india
startup_004,LoanDost,FinTech,Pre-Seed,"Pune, India",1.2,6.1,7.8,60.0,2023,0.1,9,https://loandost.com,Lead generation fee + interest spread,"Rural India has 650 million adults, yet 73% are denied personal loans due to thin credit files. Banks rely solely on CIBIL scores, ignoring alternative data like utility payments, telecom usage, and agricultural income.","LoanDost is an alternative credit scoring API that aggregates 47 data signals including Aadhaar-linked utility payments, UPI transaction patterns, and kisan credit card history to generate a Financial Health Score for unbanked borrowers.","In its 10-month pilot, LoanDost has scored 14,000 borrowers for partner microfinance institutions, achieving 88% approval accuracy vs 61% for CIBIL-only models. Three regional banks are in advanced API integration trials. The founding team includes ex-ICICI and ex-Experian data scientists.",credit|alternative-data|rural|api|fintech|b2b|india
startup_005,TradeNest,FinTech,Series A,"Hyderabad, India",6.5,8.1,8.6,150.0,2021,1.9,54,https://tradenest.in,Per-trade fee + subscription,"India's 35 million retail traders lose ₹2,200 crore annually due to emotional decision-making, lack of real-time risk alerts, and fragmented broker platforms that don't provide AI-driven insights.","TradeNest is a broker-agnostic trading co-pilot that connects via broker APIs to provide real-time portfolio risk scores, sentiment-based entry/exit alerts derived from 800+ news sources, and an AI journaling feature that identifies behavioural trading patterns.","TradeNest has 92,000 active trader accounts with a 67% 90-day retention rate. Users who follow AI alerts show a statistically significant 18% improvement in returns vs control group. Revenue grew 3.4x in 12 months. SEBI-compliant and integrated with Zerodha, AngelOne, and Groww APIs.",trading|retail-investors|ai|risk|fintech|b2c
startup_006,MediScan AI,HealthTech,Series A,"Bangalore, India",9.0,8.9,9.3,320.0,2020,3.1,92,https://mediscan.ai,Per-scan SaaS licensing to hospitals,"India has only 1 radiologist per 100,000 people, causing diagnostic delays of 3-7 days for X-rays and CT scans. Misdiagnosis rates for TB and lung cancer in tier-2 hospitals exceed 34% due to fatigue and high workload.","MediScan AI is a radiology AI platform that reads chest X-rays and CT scans in under 60 seconds with 96.4% sensitivity for TB, pneumonia, and lung cancer. It triages critical cases automatically and provides structured radiology reports in English and Hindi.","MediScan AI is deployed in 340 hospitals across 18 states. It processes 12,000 scans daily and has read over 2.4 million scans to date. The platform reduced average diagnostic turnaround from 5.2 days to 6 hours in partner hospitals. CE-marked, CDSCO approved, and selected for NITI Aayog's AI in Health initiative.",radiology|ai|diagnostics|computer-vision|saas|b2b|india
startup_007,CareCircle,HealthTech,Seed,"Chennai, India",2.5,7.4,8.0,85.0,2022,0.5,28,https://carecircle.health,Subscription for families,"India has 140 million elderly citizens, yet 68% live without formal care plans. Families are unable to monitor chronic conditions like diabetes and hypertension remotely, leading to preventable hospitalizations costing ₹15,000 per episode on average.","CareCircle is a remote patient monitoring platform that uses IoT wearables, a medicine dispenser module, and an AI companion chatbot to track vitals and medication adherence. It sends real-time health alerts to family members and doctors, and auto-schedules teleconsults when vitals deteriorate.","CareCircle monitors 9,200 elderly patients across Mumbai, Bangalore, and Chennai. It has reduced unplanned hospital admissions by 41% in enrolled patients. The platform integrates with Apollo Telehealth and Practo. Monthly churn is under 3.5%. Recognized by WHO South-East Asia as a model for elderly care innovation.",eldercare|iot|remote-monitoring|wearables|b2c|india
startup_008,NutriGen,HealthTech,Pre-Seed,"Mumbai, India",1.5,5.8,7.5,45.0,2023,0.08,7,https://nutrigen.health,D2C subscription,"Standard diet plans ignore individual genetics, gut microbiome, and metabolic responses. 78% of people on generic diets relapse within 6 months. There is no affordable personalised nutrition solution in India.","NutriGen combines at-home DNA testing, a gut microbiome analysis kit, and a continuous glucose monitor integration to generate a fully personalised weekly meal plan. An AI nutritionist chatbot explains recommendations and adjusts plans based on user feedback.","NutriGen has 1,800 paying subscribers with an average subscription value of ₹4,200/month. Early clinical trial with 200 participants showed a 31% improvement in HbA1c levels among pre-diabetic users over 90 days. Partnerships in progress with three corporate wellness programs.",nutrition|genomics|personalised|wellness|d2c|india
startup_009,SurgAI,HealthTech,Series B,"Hyderabad, India",22.0,9.0,9.6,480.0,2019,9.2,210,https://surgai.com,Device licensing + SaaS dashboard,"Surgical complications account for 50% of preventable deaths in Indian hospitals. Surgeons lack real-time intra-operative guidance systems affordable to public sector hospitals, which account for 70% of procedures.","SurgAI's robotic surgical guidance system overlays AI-generated anatomical maps on the surgeon's view during laparoscopic procedures, flagging danger zones in real time. The system works with existing laparoscopic equipment via a clip-on sensor module, costing 90% less than standalone surgical robots.","SurgAI is deployed in 28 tertiary hospitals. It has assisted in 14,000 surgeries with a 0.3% complication rate vs the 3.1% sector average. Five government hospital empanelment contracts are active. The company holds 6 patents and has received CDSCO Class C device approval. Series B will fund US FDA submission and expansion into UAE and Saudi Arabia.",surgical-ai|robotics|medtech|b2b|government|india
startup_010,MindBloom,HealthTech,Seed,"Bangalore, India",2.8,7.6,8.2,70.0,2022,0.7,31,https://mindbloom.co,B2B2C: employer wellness subscriptions,"India has 197 million people with mental health conditions, yet 83% receive no treatment. Corporate India loses ₹1.1 lakh crore annually to mental health-related productivity loss. Existing mental health apps lack clinical validation and employer integration.","MindBloom is a clinically validated mental wellbeing platform that combines CBT-based self-help modules, AI mood tracking, peer support communities, and on-demand therapist video sessions. Employers get an anonymous population-level mental health dashboard and can trigger targeted interventions.","MindBloom is live with 44 enterprise clients including three Fortune 500 India subsidiaries. 82,000 employees are enrolled. Platform engagement is 4.1 sessions per week per user, 6x higher than industry average. Clinical outcomes show a 38% reduction in PHQ-9 depression scores over 8 weeks. Featured in ET Healthworld's Top 10 Digital Health Startups 2023.",mentalhealth|cbt|wellness|b2b2c|enterprise|india
